Date,Day,age0-4,age0-4 SD,age5-9,age5-9 SD,age10-14,age10-14 SD,age15-19,age15-19 SD,age20-24,age20-24 SD,age25-29,age25-29 SD,age30-34,age30-34 SD,age35-39,age35-39 SD,age40-44,age40-44 SD,age45-49,age45-49 SD,age50-54,age50-54 SD,age55-59,age55-59 SD,age60-64,age60-64 SD,age65-69,age65-69 SD,age70-74,age70-74 SD,age75-79,age75-79 SD,age80+,age80+ SD,Total
2020-08-23,235,2570,1093.5,3930,2039,3307,2135.75,3978,2487,5307,3090.25,5431,2999.75,4484,2377,2897,1483.25,1722,826.5,1587,705.25,1600,667,1476,581.75,1234,477.5,1086,433.25,1101,450.5,772,322,565,241.5,43047
2020-09-06,249,3910,1329.75,6883,2760.75,6797,3126.25,7498,3083.25,8690,3107.75,7415,2312.25,6175,1702,5713,1562.75,4947,1344,4674,1255.75,4540,1206.25,4056,1067.5,3287,872,2806,768,2777,780,1907,547.5,1356,401,83431
2020-09-20,263,2146,901,9221,2336.5,14664,3056.25,18365,3362.25,21085,3690.25,16473,3021.75,12166,2219.5,10081,1616.5,8099,1132.5,8356,1105.25,8889,1141.5,8566,1075,7227,915.5,6160,819,6087,842.5,4176,597.25,2965,443.25,164726
2020-10-04,277,3911,1052.5,24162,2990,42024,4114.75,62765,5005.25,74826,5678.5,49511,4305,30830,2982.75,26065,2240,21132,1613.5,20614,1509.75,20837,1492,19278,1354,15605,1108.75,12675,949.5,11995,942,7921,648.5,5313,462.75,449464
2020-10-18,291,15656,1826,45855,4158,63927,5035.75,77169,5301.25,85405,5596.5,60402,4301.75,41280,3052.75,36107,2366.75,30457,1773,32136,1738.25,34628,1784.75,33699,1672.5,28488,1413.25,24115,1249.25,23691,1272.5,16172,895,11400,657.75,660587
2020-10-31,304,23430,2247.75,52983,4683.5,63986,5323.75,69349,5370.75,78129,5736.5,69112,4893,57756,3798.5,50668,2956.75,42663,2221.75,43824,2164,46181,2207.5,44186,2057.75,36819,1731.25,30739,1525,29832,1549,20150,1087,13987,796.5,773794
2020-11-15,319,31245,2483.5,64785,4962.5,73238,5446.25,71370,5187.25,76620,5403.25,71212,4786.5,62001,3827.5,55255,2991.25,46589,2239.75,44391,2064.75,43634,1997.75,39409,1779,31408,1442.75,25361,1238.75,23865,1231.75,15678,849.5,10431,607.75,786492
2020-11-29,333,24745,2144,53557,4453.75,62125,5028,54843,4648,54440,4708.5,52082,4196.5,46572,3376.5,42263,2651.75,36322,1999.75,35944,1876.5,36548,1846.25,33979,1668.75,27492,1367.5,22151,1179.5,20802,1177.5,13640,814.75,9048,585.5,626553
2020-12-13,347,43902,2999.75,80356,5690.75,80822,5941.25,59893,4939.5,52201,4593.75,53014,4046.75,51430,3316,51338,2793.5,46694,2238.75,43367,2053.75,41096,1956.25,35897,1717,27951,1375.5,22343,1171.25,20823,1156.5,13556,792.75,8889,562.25,733572
2020-12-27,361,52440,3516.5,102583,7038,110098,7719.5,94636,7083.75,95823,7181.25,98264,6423.75,93340,5224,88255,4194.75,77701,3231.25,74018,3036.75,72318,2982.25,64968,2691.75,51742,2211.5,42026,1922.25,39769,1931.75,26260,1343.75,17613,972.75,1.20E+06
2021-01-10,375,45651,2978.25,85733,5733.75,89652,6120,91773,6141.75,107462,6751,109669,6135,102847,5012,95155,3954.75,82497,2989.75,78577,2764.5,76920,2678.75,69221,2388.75,55054,1943.25,44454,1677.5,41833,1676,27481,1160,18284,834.5,1.22E+06
2021-01-24,389,42693,2875.25,73982,5406,71235,5641.75,66461,5464.25,76256,5910.75,83583,5462.5,84670,4595.5,84820,3801.75,77484,3004.25,73078,2788.75,70339,2695,62339,2397,48983,1940.25,39214,1661,36597,1648,23857,1134.25,15678,809,1.03E+06
2021-02-07,403,28697,2324.75,46430,4217.5,41400,4255,38791,4039.5,46730,4412.5,54275,4280,56667,3713.75,56966,3070.25,52122,2423.25,48938,2241.25,46874,2158.25,41356,1913.25,32529,1549.5,26285,1334.5,24752,1330.25,16271,919.5,10837,659.75,669920
2021-02-21,417,9346,1338,19011,2743.25,21254,3083.25,22020,3154.75,27264,3569,31521,3451,31248,2913.5,28318,2249.75,24136,1663.5,22687,1527,21964,1474,19570,1309.75,15538,1070,12671,936.75,12035,947,7975,661.75,5377,482.5,331935
2021-03-07,431,9587,1449.75,17109,2751.25,16991,2896.5,16230,2839.75,17862,3067.5,17308,2766.25,16330,2245.5,16307,1766,14846,1327.5,13864,1202.25,13212,1141.25,11601,998.5,9045,799.25,7196,682.25,6675,674.75,4326,463.5,2816,329.25,211305
2021-03-21,445,14003,1743.25,19920,2934.25,14602,2725.5,9742,2313.5,9473,2336.5,12077,2248.5,13287,1934.5,13652,1585.25,12551,1238.75,11038,1127.75,9818,1069.5,8045,934.75,6033,756,4852,661.75,4549,668.5,2977,467.25,1969,340.5,168588
2021-04-03,458,10357,1683,16540,2926.25,14274,2805.75,8985,2227.75,6926,2068.75,7887,1943,8666,1673.75,9702,1430.25,9465,1161.75,9017,1078.5,8699,1038,7726,919.5,6063,746.25,4824,646,4475,647,2900,449,1888,323.75,138394
2021-04-18,473,4445,1202,8200,2221.5,8372,2279.75,7387,2161.5,7355,2240.5,6601,1903,5776,1490.75,5487,1199.5,4796,916.25,4213,792.75,3773,713.25,3113,591.5,2282,444.75,1706,353.5,1483,327.25,899,211.75,520,137.5,76408
2021-05-02,487,804,561.5,2580,1239,3749,1475.75,4838,1649.75,5739,1845.25,4613,1494.75,3540,1098,3035,822,2499,588.25,2507,538,2594,520,2446,462.75,1970,366.5,1539,297.5,1402,281.25,893,185.5,564,124.5,45312
2021-05-16,501,3202,959.5,6060,1837.25,6366,1950.5,6278,1924,6644,2048.25,5567,1756,4367,1325.75,3628,938.75,2850,626.5,2459,546.25,2193,508.25,1803,436.25,1407,358.5,1239,332.5,1259,351.5,883,254.5,647,194.25,56852
2021-05-30,515,2859,994,8068,2192.5,10893,2585.5,10093,2444.25,9643,2415.75,7884,1930.5,6518,1418,6382,1097.25,5728,815.5,5285,766.25,4982,756.5,4330,686,3364,563.5,2694,486.25,2516,486,1641,336.5,1079,242,93959
2021-06-13,529,2036,801,8241,2018.5,12989,2616.5,17962,3158.5,21884,3641,17475,2895.25,12126,2010.25,7857,1321.5,4700,804,4398,731.5,4490,724.75,4188,659.25,3433,545,2844,475.5,2741,479.5,1840,334.5,1266,243,130470
2021-06-27,543,10792,1825.25,31279,4239.5,43542,5213.25,54992,5761.25,61266,6141.75,40172,4381,23130,2794.25,16199,1970.75,10689,1313,9460,1170,8970,1115.25,7840,979.5,6136,787.5,4966,675.75,4683,671.5,3082,463,2057,330.75,339255
2021-07-11,557,21094,2344.75,57355,5376.75,77208,6554,91790,7155.5,102788,7732.75,77395,5936.25,54266,4126.75,42956,3022.75,32330,2099.75,28182,1837,25637,1703,21510,1456.25,16070,1134,12294,936,10955,899.25,6823,601.75,4146,412,682799
2021-07-25,571,39993,3465.5,89598,7202,106543,8142.75,97225,7697.25,91022,7521.75,67473,5642.75,49441,3944.5,45307,3126.5,38701,2361.75,34761,2099,32041,1950.25,27244,1671.75,20889,1329.75,16738,1150.75,15634,1152,10200,799,6712,576,789522
