time,age0-19,age20-39,age40-59,age60+
0,0,0,0,0
7,2,0,3,1
14,17,17,7,7
21,30,43,38,23
28,79,156,90,54
35,230,434,192,111
42,363,692,251,138
49,401,927,286,157
56,471,1186,314,227
63,621,1329,406,297
70,812,1504,646,276
77,820,1505,925,351
84,698,1272,1357,331
91,570,873,1674,241
98,435,584,2005,176
105,310,420,2433,155
112,274,327,2828,116
119,294,308,3130,115
126,318,233,3324,118
133,356,256,3272,135
140,308,230,3234,105
147,256,259,2999,105
154,314,237,2938,108
161,311,298,2570,137
168,322,324,2375,141
175,370,430,2136,149
182,410,508,1825,133
189,453,572,1581,130
196,426,472,1291,137
203,390,398,1043,118
